Question,Answer
වී පැලවල පෝෂක ඌනතාවයේ පොදු ලක්ෂණ මොනවාද?,"වී පැලවල පෝෂක ඌනතාවයේ පොදු ලක්ෂණ අතර පැහැය වෙනස් වීම, පත්‍ර විකෘති වීම, වර්ධනය පසුබෑම, සහ අස්වැන්න අඩුවීම ඇතුළත් වේ. නිදසුනක් ලෙස, නයිට්‍රජන් ඌනතාවයේදී පත්‍ර පැහැය අඩුවීම සහ වර්ධනය පසුබෑම, පොස්පරස් ඌනතාවයේදී පත්‍ර ගැලීම සහ වර්ධනය පසුබෑම, සහ පොටෑසියම් ඌනතාවයේදී පත්‍ර කෙළවර ගැලීම සහ පැහැය වෙනස් වීම දක්නට ලැබේ."
කුඹුරු වල වල් මර්දනයට හොඳම ක්‍රමය කුමක්ද?,"කුඹුරු වල වල් මර්දනයට හොඳම ක්‍රමය ලෙස සංයුක්ත වල් මර්දන ක්‍රම (integrated weed management) භාවිතා කිරීම සලකා බලයි. මෙයට යාන්ත්‍රික මර්දනය (අත් වල් ගල්ලීම), ජෛවික මර්දනය (වල් නාශක භාවිතය), සහ සංස්කෘතික ක්‍රම (ශුද්ධ වගා ක්‍රම, ශාක අවශේෂ භූමියට එකතු කිරීම) ඇතුළත් වේ."
වී ගොවීන් පසේ ලවණතාව කළමනාකරණය කරන්නේ කෙසේද?,"පසේ ලවණතාව කළමනාකරණය කිරීම සඳහා, ජල සම්පත් කාර්යක්ෂමව කළමනාකරණය කිරීම, ලවණ ප්‍රතිරෝධී වගා ක්‍රම භාවිතා කිරීම, සහ ජිප්සම් (gypsum) යෙදීම මගින් පසේ ලවණ මට්ටම අඩු කිරීම සිදු කරයි."
වී පැළ සඳහා නිර්දේශිත පරතරය කොපමණද?,"වී පැළ සඳහා නිර්දේශිත පරතරය සාමාන්‍යයෙන් සෙන්ටිමීටර 15 සිට 20 දක්වා (6 සිට 8 අඟල්) පමණ වේ. මෙම පරතරය වී වගාවේ වර්ගය, පාංශුවල තත්ත්වය, සහ කාලගුණික තත්ත්වයන් අනුව සුළු වෙනස්කම් විය හැකිය. නිසි පරතරයක් පවත්වා ගැනීමෙන් ශාක අතර තරඟකාරීතාවය අවම කර, සූර්යාලෝකය, ජලය, සහ පෝෂක ලබා ගැනීමේ හැකියාව වැඩි දියුණු කරයි. මීට අමතරව, නිසි පරතරයක් පවත්වා ගැනීමෙන් ශාක වල වාතාශ්‍රය සහ රෝග ප්‍රතිරෝධක ශක්තිය වැඩි කරයි, එමගින් වගාවන්ගේ ඵලදායීතාවය සහ අස්වැන්න වැඩි කර ගත හැකිය. නිර්දේශිත පරතරය පවත්වා ගැනීම සඳහා ගොවීන්ට පැළ සිටුවීමේදී නිවැරදි මිනුම් සහ සැලැස්මක් භාවිතා කිරීම වැදගත්ය."
වී අස්වැන්න නෙළීමට හොඳම කාලය කවදාද?,"වී අස්වැන්න නෙළීමට හොඳම කාලය වී ශාකයේ පරිණත කාලය හෙවත් හොඳින් ධාන්‍ය පිරී ඇති අවධියයි. මෙම අවධියේදී වී ධාන්‍ය තද පැහැයක් ගන්නා අතර, ධාන්‍ය තුළ ඇති තෙතමනය 20-25% පමණ වේ. සාමාන්‍යයෙන්, වී වගාවන්ගේ අස්වැන්න නෙළීම සඳහා වගාව ආරම්භයේ සිට දින 110 සිට 130 දක්වා කාලයක් ගත වේ. නෙළන කාලය නිවැරදිව තක්සේරු කිරීම ඉතාමත් වැදගත්ය, මන්ද නිසි කලට පෙර නෙළීමෙන් ධාන්‍ය අසම්පූර්ණ වීම හෝ පමා වී නෙළීමෙන් ධාන්‍ය කැඩීම, ඇඹරීමේදී කැඩී යාම වැඩි වීම සහ පුස් වර්ධනයට සහ මයිකොටොක්සින් සමුච්චය වීමේ හැකියාව ඇතුළුව සැලකිය යුතු අලාභ හා ගුණාත්මක භාවය අඩු වීමට හේතු විය හැක."
පාංශු සාරවත් බව වැඩි දියුණු කරන්නේ කෙසේද?,"පාංශු සාරවත් බව වැඩි දියුණු කිරීම සඳහා කාබනික පොහොර, කොම්පෝස්ට්, සහ හරිත පොහොර භාවිතා කිරීම වැදගත්ය. මෙමගින් පාංශුවල සාරවත් භාවය සහ ජීවී ක්‍රියාකාරකම් වැඩි කරයි. දෙහි පොහොර (කැල්සියම් කාබනේට්) භාවිතා කිරීමෙන් පාංශුවල pH අගය සමතුලිත කර ක්ෂාරීය තත්ත්වයකට පත් කරයි. ශුද්ධ වගා ක්‍රම (cover cropping) සහ ශාක අවශේෂ භූමියට එකතු කිරීම මගින් පාංශුවල ව්‍යුහය සහ ජල රැඳවුම් හැකියාව වැඩි දියුණු කරයි. ජල සම්පත් කාර්යක්ෂමව කළමනාකරණය කිරීම සහ යතාතථ්‍යය ගොවිතැන් තාක්ෂණය (precision agriculture) භාවිතා කිරීමෙන් පාංශශුවල සෞඛ්යය සහ සාරවත් භාවය වැඩි දියුණු කරයි."
යතාතථ්‍යය ගොවිතැන් තාක්ෂණය ලෙස හඳුන්වන්නේ කුමක්ද?,"යතාතථ්‍යය ගොවිතැන් තාක්ෂණය (Precision agriculture) යනු නවීන තාක්ෂණයන් භාවිතා කරමින් කෘෂිකාර්මික ක්‍රියාවලීන් වඩාත් කාර්යක්ෂම, නිවැරදි, සහ පාරිසරිකව ගැලපෙන ආකාරයෙන් කළමනාකරණය කිරීමේ ක්‍රමවේදයකි. මෙහිදී GPS (Global Positioning System), ඩ්‍රෝන්, සංවේදක (sensors), සහ දත්ත විශ්ලේෂණ මෘදුකාංග (data analytics software) වැනි තාක්ෂණික මෙවලම් භාවිතා කරයි. මෙමගින් කුඹුරුවල පාංශු තත්ත්වය, ආර්ද්‍රතාවය, ශාක සෞඛ්යය, සහ පෝෂක මට්ටම් වැනි තොරතුරු නිවැරදිව තක්සේරු කර ගැනීමට හැකි වේ. මෙම දත්ත මත පදනම්ව, ගොවීන්ට පොහොර, ජලය, සහ පලිබෝධ නාශක යෙදීම වඩාත් නිවැරදිව සහ කාර්යක්ෂමව කළමනාකරණය කිරීමට හැකිය. Precision agriculture මගින් සම්පත් කාර්යක්ෂමව භාවිතා කරමින්, අස්වැන්න වැඩි කර ගැනීම, පිරිවැය අඩු කිරීම, සහ පාරිසරික බලපෑම අවම කිරීම සිදු කරයි. මෙය නවීන ගොවිතැනේ ඉදිරි ගමන සඳහා වැදගත් ක්‍රමවේදයක් ලෙස සැලකේ."
වී වාරිමාර්ග පද්ධතිවල ප්‍රධාන වර්ග මොනවාද?,"ප්‍වී වාරිමාර්ග පද්ධතිවල ප්‍රධාන වර්ග අතර ගංගාමය වාරිමාර්ග, ජලාශ පද්ධති, සහ ඉඩම් වාරිමාර්ග ඇතුළත් වේ. ගංගාමය වාරිමාර්ග මගින් ගංගා, ඇල මාර්ග, සහ වැව් වලින් ජලය ගෙන ඒම සිදු කරයි. ජලාශ පද්ධති මගින් වැව්, ජලාශ, සහ ජල ගබඩා වලින් ජලය ගෙන ඒම සිදු කරයි. ඉඩම් වාරිමාර්ග මගින් ඉඩම්වල ජලය ගබඩා කර ගෙන, වගාවන්ට ජලය සැපයීම සිදු කරයි. මෙම පද්ධති මගින් වගාවන්ට අවශ්‍ය ජලය කාර්යක්ෂමව සැපයීම සහ ජලය ඉතිරි කරගැනීම සිදු කරයි."
වී වර්ධන අවධියේදී කොපමණ වාරයක් පොහොර යෙදිය යුතුද?,"වී වර්ධන අවධියේදී පොහොර යෙදීම සාමාන්‍යයෙන් වාර තුනකින් සිදු කරයි. පළමුව, පැළ සිටුවීමේදී පොහොර යෙදීම සිදු කරයි. දෙවනුව, වී ශාක වර්ධනයේ මුල් අවධියේදී  පොහොර යෙදීම සිදු කරයි. තෙවනුව, වී ශාක වර්ධනයේ පිපීමේ අවධියේදී (panicle initiation stage) පොහොර යෙදීම සිදු කරයි. මෙම වාර තුනේදී නයිට්‍රජන්, පොස්පරස්, සහ පොටෑසියම් වැනි ප්‍රධාන පෝෂක යෙදීම වැදගත්ය. පොහොර යෙදීමේදී පාංශුවල තත්ත්වය සහ ශාක වල වර්ධන අවධිය සැලකිල්ලට ගෙන, නිවැරදි ප්‍රමාණයක් යෙදීම ඉතාමත් වැදගත්ය."
වී වගාවන්ට බලපාන පොදු පලිබෝධ මොනවාද?,"වී වගාවන්ට බලපාන පොදු පලිබෝධ අතර වල් පැලෑටි, රෝග, සහ කෘමින් ඇතුළත් වේ. වල් වී, බජිරි, අශ්වවලිග වැනි වල් පැලෑටි වර්ග ජලය, පෝෂ්‍ය පදාර්ථ, හිරු එළිය සහ අවකාශය වැනි සම්පත් සඳහා තරඟ කරන අතර, එමඟින් බෝග අස්වැන්න සහ ගුණාත්මකභාවය අඩු විය හැක. රෝග අතර කොළ පාළුව, කොපු අංගමාරය, දුඹුරු පුල්ලි රෝගය, බැක්ටීරියා කොළ අංගමාරය, කොපු කුණු වීම සහ මුඋල ගැටිති වටපණු රෝගය වේ. හානිකර කෘමින් අතර පැළ මැක්කා (Thrips), ගොක් මැස්සා (Rice Gall Midge), කොළ හකුලන දළඹුවා (Rice Leaf Folder), දුඹුරු පැළ කීඩෑවා (Brown Plant Hopper), පුරුක් පණුවා (stem borer), ගොයම් මකුණා (Rice Bug) වැනි කෘමින් වේ. මෙම පලිබෝධ පාලනය කිරීම සඳහා ගොවීන්ට සංයුක්ත පලිබෝධ කළමනාකරණ (IPM) ක්‍රම භාවිතා කිරීම, නිවැරදි පොහොර සහ ජල සම්පත්ක ළමනාකරණය, සහ ජෛව පාලන ක්‍රම (biocontrol methods) භාවිතා කිරීම වැදගත්ය. මෙමගින් පලිබෝධ බලපෑම අවම කර, වගාවන්ගේ ඵලදායීතාවය සහ අස්වැන්න වැඩි කර ගත හැකිය."
